total_mass_source chirp_mass_source mass_ratio chi_eff
2.7278 1.1863 1.0799 -0.0057
2.7356 1.1905 1.0402 0.0008
2.7567 1.1872 1.3054 -0.0004
2.7490 1.1888 0.8120 -0.0034
2.7519 1.1900 1.2322 0.0087
2.7372 1.1889 1.1277 -0.0002
2.7360 1.1902 1.0659 -0.0001
2.7271 1.1869 1.0272 -0.0119
2.7362 1.1889 1.1138 0.0128
2.7417 1.1870 1.2090 0.0073
2.7382 1.1918 0.9868 0.0060
2.7232 1.1853 0.9824 -0.0024
2.7374 1.1915 0.9827 0.0050
2.7352 1.1903 1.0365 -0.0019
2.7262 1.1847 1.1093 0.0007
2.7426 1.1857 0.8080 0.0061
2.7337 1.1899 0.9947 0.0078
2.7269 1.1858 0.9217 0.0089
2.7364 1.1887 0.8910 -0.0019
2.7511 1.1884 1.2538 0.0006
2.7256 1.1863 0.9729 0.0019
2.7310 1.1886 0.9738 0.0006
2.7450 1.1897 1.1846 0.0112
2.7338 1.1888 1.0831 0.0053
2.7320 1.1892 1.0073 0.0027
2.7310 1.1887 1.0086 0.0057
2.7384 1.1897 0.8945 0.0015
2.7260 1.1860 0.9450 0.0031
2.7457 1.1922 1.1366 -0.0027
2.7322 1.1887 0.9456 -0.0015
2.7316 1.1889 0.9868 0.0014
2.7567 1.1901 0.7909 0.0182
2.7374 1.1894 1.1163 0.0031
2.7316 1.1887 1.0419 0.0095
2.7374 1.1867 0.8483 0.0030
2.7722 1.1877 0.7218 0.0132
2.7500 1.1888 1.2388 0.0030
2.7388 1.1905 1.1004 0.0073
2.7406 1.1919 0.9291 0.0022
2.7349 1.1897 0.9365 0.0057
2.7614 1.1922 0.7919 0.0024
2.7278 1.1873 1.0063 0.0013
2.7253 1.1858 1.0524 -0.0041
2.7543 1.1892 0.7921 0.0013
2.7456 1.1899 0.8431 0.0008
2.7318 1.1879 0.9222 0.0097
2.7307 1.1869 1.1039 0.0063
2.7499 1.1856 1.2873 0.0076
2.7404 1.1863 0.8253 0.0100
2.7394 1.1899 1.1260 0.0079
2.7293 1.1876 1.0524 0.0138
2.7470 1.1867 1.2524 0.0061
2.7505 1.1897 1.2272 0.0111
2.7674 1.1912 0.7611 0.0130
2.7442 1.1906 0.8637 0.0041
2.7453 1.1891 0.8340 0.0049
2.7293 1.1879 1.0269 0.0046
2.7236 1.1851 1.0520 -0.0036
2.7405 1.1924 0.9513 0.0099
2.7382 1.1905 1.0922 -0.0033
2.7554 1.1900 1.2568 -0.0008
2.7424 1.1937 0.9976 0.0011
2.7271 1.1860 0.9280 0.0056
2.7352 1.1886 1.1117 0.0015
2.7338 1.1858 0.8581 0.0091
2.7311 1.1886 0.9712 0.0042
2.7414 1.1860 1.2240 -0.0011
2.7370 1.1904 0.9299 -0.0026
