total_mass_source chirp_mass_source mass_ratio chi_eff
3.3257 1.4470 0.9503 0.0167
3.3767 1.4434 0.7057 0.0297
3.3235 1.4410 0.8509 0.0142
3.2973 1.4347 0.9513 0.0044
3.3386 1.4403 0.7830 0.0075
3.3097 1.4364 0.8693 0.0083
3.3364 1.4507 0.9189 0.0110
3.3212 1.4385 0.8340 0.0042
3.3039 1.4362 0.9091 0.0022
3.3247 1.4402 0.8359 0.0086
3.3195 1.4449 0.9900 0.0113
3.3212 1.4424 0.8860 0.0174
3.3033 1.4378 0.9998 -0.0068
3.2778 1.4255 0.9260 0.0079
3.2788 1.4271 0.9856 0.0228
3.2831 1.4288 0.9661 0.0173
3.2598 1.4155 0.8810 0.0062
3.3187 1.4342 0.8032 0.0178
3.3088 1.4392 0.9319 0.0172
3.2834 1.4290 0.9746 0.0149
3.3597 1.4428 0.7406 0.0229
3.2630 1.4190 0.9250 -0.0008
3.3159 1.4433 0.9906 0.0113
3.2878 1.4309 0.9738 0.0116
3.2598 1.4188 0.9784 0.0107
3.3089 1.4387 0.9179 0.0262
3.3299 1.4473 0.9053 0.0093
3.2910 1.4283 0.8692 0.0290
3.2738 1.4184 0.8386 0.0120
3.2831 1.4276 0.9213 0.0172
3.3098 1.4403 0.9575 0.0189
3.3248 1.4325 0.7701 0.0129
3.3183 1.4328 0.7930 0.0231
3.3342 1.4265 0.7118 0.0150
3.3143 1.4386 0.8724 0.0284
3.3301 1.4484 0.9307 0.0018
3.3152 1.4422 0.9414 0.0159
3.3403 1.4530 0.9346 0.0106
3.3106 1.4407 0.9593 0.0126
3.3190 1.4309 0.7764 0.0128
3.2776 1.4258 0.9379 0.0120
3.2853 1.4282 0.9131 0.0243
3.2675 1.4215 0.9422 0.0050
3.3129 1.4420 0.9926 0.0126
3.2186 1.4003 0.9432 0.0083
3.3429 1.4512 0.8753 0.0073
3.3182 1.4442 0.9757 0.0050
3.2645 1.4204 0.9492 0.0021
3.3059 1.4363 0.8935 0.0085
3.3306 1.4481 0.9170 0.0058
3.3212 1.4440 0.9162 0.0132
